bin_id,zone,aisle,rack,bin,x_coord,y_coord,distance_from_dispatch
BIN_000000,A,0,0,0,-1.69718336444505,-1.5661765835655606,-1.8502366348099135
BIN_000001,A,0,0,1,-1.69718336444505,-1.2181373427732138,-1.7775454997189022
BIN_000002,A,0,0,2,-1.69718336444505,-0.870098101980867,-1.704854364627891
BIN_000003,A,0,0,3,-1.69718336444505,-0.5220588611885202,-1.6321632295368798
BIN_000004,A,0,0,4,-1.69718336444505,-0.17401962039617339,-1.5594720944458684
BIN_000005,A,0,0,5,-1.69718336444505,0.17401962039617339,-1.486780959354857
BIN_000006,A,0,0,6,-1.69718336444505,0.5220588611885202,-1.414089824263846
BIN_000007,A,0,0,7,-1.69718336444505,0.870098101980867,-1.3413986891728347
BIN_000008,A,0,0,8,-1.69718336444505,1.2181373427732138,-1.2687075540818233
BIN_000009,A,0,0,9,-1.69718336444505,1.5661765835655606,-1.196016418990812
BIN_000010,A,0,1,0,-1.6279105740595379,-1.5661765835655606,-1.7775454997189022
BIN_000011,A,0,1,1,-1.6279105740595379,-1.2181373427732138,-1.7474358456999106
BIN_000012,A,0,1,2,-1.6279105740595379,-0.870098101980867,-1.6876943153847919
BIN_000013,A,0,1,3,-1.6279105740595379,-0.5220588611885202,-1.620367082219327
BIN_000014,A,0,1,4,-1.6279105740595379,-0.17401962039617339,-1.5505234067836315
BIN_000015,A,0,1,5,-1.6279105740595379,0.17401962039617339,-1.4795831185156376
BIN_000016,A,0,1,6,-1.6279105740595379,0.5220588611885202,-1.4080737219934643
BIN_000017,A,0,1,7,-1.6279105740595379,0.870098101980867,-1.3362326892598988
BIN_000018,A,0,1,8,-1.6279105740595379,1.2181373427732138,-1.2641819676897914
BIN_000019,A,0,1,9,-1.6279105740595379,1.5661765835655606,-1.1919904104324308
BIN_000020,A,0,2,0,-1.5586377836740255,-1.5661765835655606,-1.704854364627891
BIN_000021,A,0,2,1,-1.5586377836740255,-1.2181373427732138,-1.6876943153847919
BIN_000022,A,0,2,2,-1.5586377836740255,-0.870098101980867,-1.6446350565899075
BIN_000023,A,0,2,3,-1.5586377836740255,-0.5220588611885202,-1.5881450199675928
BIN_000024,A,0,2,4,-1.5586377836740255,-0.17401962039617339,-1.5251519959596704
BIN_000025,A,0,2,5,-1.5586377836740255,0.17401962039617339,-1.4587828923271395
BIN_000026,A,0,2,6,-1.5586377836740255,0.5220588611885202,-1.39049752962874
BIN_000027,A,0,2,7,-1.5586377836740255,0.870098101980867,-1.3210371833708163
BIN_000028,A,0,2,8,-1.5586377836740255,1.2181373427732138,-1.2508101787573496
BIN_000029,A,0,2,9,-1.5586377836740255,1.5661765835655606,-1.1800574831872517
BIN_000030,A,0,3,0,-1.4893649932885134,-1.5661765835655606,-1.6321632295368798
BIN_000031,A,0,3,1,-1.4893649932885134,-1.2181373427732138,-1.620367082219327
BIN_000032,A,0,3,2,-1.4893649932885134,-0.870098101980867,-1.5881450199675928
BIN_000033,A,0,3,3,-1.4893649932885134,-0.5220588611885202,-1.5418342674799048
BIN_000034,A,0,3,4,-1.4893649932885134,-0.17401962039617339,-1.486780959354857
BIN_000035,A,0,3,5,-1.4893649932885134,0.17401962039617339,-1.4263781229125256
BIN_000036,A,0,3,6,-1.4893649932885134,0.5220588611885202,-1.3626096765345488
BIN_000037,A,0,3,7,-1.4893649932885134,0.870098101980867,-1.2966374431490697
BIN_000038,A,0,3,8,-1.4893649932885134,1.2181373427732138,-1.2291633043409305
BIN_000039,A,0,3,9,-1.4893649932885134,1.5661765835655606,-1.1606279770381533
BIN_000040,A,0,4,0,-1.420092202903001,-1.5661765835655606,-1.5594720944458684
BIN_000041,A,0,4,1,-1.420092202903001,-1.2181373427732138,-1.5505234067836315
