sku_id,assigned_bin,embedding_distance,physical_distance
SKU_00678,BIN_000510,1.028792,1.0
SKU_00134,BIN_000188,0.98383933,19.697715603592208
SKU_00475,BIN_000510,1.3202966,1.0
SKU_00971,BIN_000701,0.27133635,20.024984394500787
SKU_00825,BIN_000600,0.0,10.0
SKU_00412,BIN_000510,1.5010197,1.0
SKU_00112,BIN_000010,1.5098258,1.0
SKU_00427,BIN_000006,0.0,6.0
SKU_00512,BIN_000003,1.1954081,3.0
SKU_00305,BIN_000510,1.2743263,1.0
SKU_00313,BIN_000510,2.059624,1.0
SKU_00814,BIN_000510,1.2679377,1.0
SKU_00577,BIN_001149,0.048752382,16.64331697709324
SKU_00150,BIN_000006,0.0,6.0
SKU_00581,BIN_000530,1.4165609,3.0
SKU_00810,BIN_000255,1.5827725,25.495097567963924
SKU_00799,BIN_000003,1.2453979,3.0
SKU_00249,BIN_000203,0.13721225,20.223748416156685
SKU_00948,BIN_000510,1.2228067,1.0
SKU_00228,BIN_000006,0.0,6.0
SKU_00679,BIN_000697,0.40662602,20.248456731316587
SKU_00203,BIN_000510,1.2242986,1.0
SKU_00183,BIN_001147,0.008707302,15.652475842498529
SKU_00517,BIN_000510,1.6944581,1.0
SKU_00324,BIN_000106,0.0015049839,11.6619037896906
SKU_00923,BIN_000510,1.5678775,1.0
SKU_00758,BIN_000003,1.6763577,3.0
SKU_00245,BIN_000523,0.026360406,3.605551275463989
SKU_00731,BIN_000003,1.3244994,3.0
SKU_00575,BIN_000010,1.1591597,1.0
SKU_00943,BIN_000510,2.0057914,1.0
SKU_00836,BIN_000530,1.4288467,3.0
SKU_00498,BIN_000000,0.9499257,0.0
SKU_00648,BIN_000006,0.0,6.0
SKU_00393,BIN_000523,0.01931953,3.605551275463989
SKU_00446,BIN_000120,0.0,12.0
SKU_00390,BIN_000010,1.063665,1.0
SKU_00240,BIN_001119,0.0,14.212670403551895
SKU_00710,BIN_001102,0.002629475,10.198039027185567
SKU_00671,BIN_000510,1.3455791,1.0
SKU_00447,BIN_000006,0.0,6.0
SKU_00308,BIN_000183,0.8056024,18.24828759089466
SKU_00197,BIN_000671,0.0,17.029386365926403
SKU_00937,BIN_000010,1.3765776,1.0
SKU_00869,BIN_000510,1.3238586,1.0
SKU_00769,BIN_000640,0.0010918301,14.0
SKU_00705,BIN_001141,0.00048828125,14.0356688476182
SKU_00627,BIN_000195,0.33665815,19.6468827043885
SKU_00178,BIN_000010,1.0641657,1.0
SKU_00127,BIN_000010,1.1057808,1.0
SKU_00384,BIN_000003,1.1509249,3.0
SKU_00419,BIN_000003,1.0427318,3.0
SKU_00996,BIN_000530,1.0148581,3.0
SKU_00120,BIN_000085,0.00048828125,9.433981132056603
SKU_00991,BIN_000510,1.4881296,1.0
SKU_00070,BIN_000510,1.2011521,1.0
SKU_00905,BIN_000187,0.7982704,19.313207915827967
SKU_00431,BIN_000567,0.0020716018,9.219544457292889
SKU_00795,BIN_000110,0.0,11.0
SKU_00271,BIN_000510,1.3773206,1.0
SKU_00403,BIN_000003,1.8908968,3.0
SKU_00378,BIN_000086,0.002826132,10.0
SKU_00932,BIN_000520,1.0898839,2.0
SKU_00035,BIN_000510,1.1567748,1.0
SKU_00891,BIN_000010,0.9655365,1.0
SKU_00737,BIN_000502,0.08841195,2.0
SKU_00267,BIN_000510,1.1847647,1.0
SKU_00139,BIN_000000,1.470145,0.0
SKU_00509,BIN_001131,0.0012918707,13.038404810405298
SKU_00367,BIN_000010,1.1360883,1.0
SKU_00207,BIN_000510,1.7678682,1.0
SKU_00002,BIN_000000,1.3020662,0.0
SKU_00780,BIN_000510,1.1679854,1.0
SKU_00748,BIN_000700,0.41982365,20.0
SKU_00471,BIN_000671,1.2255514,17.029386365926403
SKU_00352,BIN_000153,0.0,15.297058540778355
SKU_00614,BIN_000010,0.91287357,1.0
SKU_00464,BIN_000175,0.9706025,17.72004514666935
SKU_00558,BIN_000510,1.1347139,1.0
SKU_00745,BIN_000635,0.0021561915,13.92838827718412
SKU_00759,BIN_000195,0.83824706,19.6468827043885
SKU_00798,BIN_000006,0.0,6.0
SKU_00645,BIN_000010,0.9682068,1.0
SKU_00226,BIN_000006,0.0,6.0
SKU_00680,BIN_000006,0.0,6.0
SKU_00574,BIN_000003,1.0920744,3.0
SKU_00450,BIN_000510,1.2138484,1.0
SKU_00238,BIN_000005,0.0033652463,5.0
SKU_00094,BIN_000510,0.8583559,1.0
SKU_00707,BIN_000624,0.0061763236,12.649110640673518
SKU_00524,BIN_000059,0.00077204045,10.295630140987
SKU_00435,BIN_000094,0.001953125,9.848857801796104
SKU_00170,BIN_000199,1.2991213,21.02379604162864
SKU_00073,BIN_000002,0.13698226,2.0
SKU_00137,BIN_000003,1.1961493,3.0
SKU_00573,BIN_000699,1.5227325,21.02379604162864
SKU_00950,BIN_000510,1.1017802,1.0
SKU_00719,BIN_000700,0.77254,20.0
SKU_00727,BIN_000531,0.060202327,3.1622776601683795
SKU_00485,BIN_000520,1.4040797,2.0
SKU_00513,BIN_000010,1.074834,1.0
SKU_00357,BIN_000510,1.1946169,1.0
SKU_00113,BIN_000652,0.0008457279,15.132745950421556
SKU_00752,BIN_000551,0.020867955,5.0990195135927845
SKU_00803,BIN_001012,1.3440424,2.23606797749979
SKU_00813,BIN_000166,0.011241078,17.08800749063506
SKU_00118,BIN_001118,0.0064316113,13.601470508735444
SKU_00961,BIN_000510,1.4072938,1.0
SKU_00252,BIN_000502,0.021724401,2.0
SKU_00480,BIN_000059,0.0011451211,10.295630140987
SKU_00165,BIN_000010,0.86026883,1.0
SKU_00820,BIN_000565,0.001983408,7.810249675906654
SKU_00052,BIN_000044,0.015829653,5.656854249492381
SKU_00709,BIN_000003,1.0330199,3.0
SKU_00398,BIN_000006,0.0,6.0
SKU_00541,BIN_000003,0.97156197,3.0
SKU_00414,BIN_000003,1.3370582,3.0
SKU_00697,BIN_000003,0.96111566,3.0
SKU_00872,BIN_000715,0.5047414,21.587033144922906
SKU_00508,BIN_000010,1.4866786,1.0
SKU_00947,BIN_000530,0.92512834,3.0
