bin_id,x_coord,y_coord,distance_from_dispatch
BIN_000000,-1.69718336444505,-1.5661765835655606,-1.8502366348099135
BIN_000001,-1.69718336444505,-1.2181373427732138,-1.7775454997189022
BIN_000002,-1.69718336444505,-0.870098101980867,-1.704854364627891
BIN_000003,-1.69718336444505,-0.5220588611885202,-1.6321632295368798
BIN_000004,-1.69718336444505,-0.17401962039617339,-1.5594720944458684
BIN_000005,-1.69718336444505,0.17401962039617339,-1.486780959354857
BIN_000006,-1.69718336444505,0.5220588611885202,-1.414089824263846
BIN_000007,-1.69718336444505,0.870098101980867,-1.3413986891728347
BIN_000008,-1.69718336444505,1.2181373427732138,-1.2687075540818233
BIN_000009,-1.69718336444505,1.5661765835655606,-1.196016418990812
BIN_000010,-1.6279105740595379,-1.5661765835655606,-1.7775454997189022
BIN_000011,-1.6279105740595379,-1.2181373427732138,-1.7474358456999106
BIN_000012,-1.6279105740595379,-0.870098101980867,-1.6876943153847919
BIN_000013,-1.6279105740595379,-0.5220588611885202,-1.620367082219327
BIN_000014,-1.6279105740595379,-0.17401962039617339,-1.5505234067836315
BIN_000015,-1.6279105740595379,0.17401962039617339,-1.4795831185156376
BIN_000016,-1.6279105740595379,0.5220588611885202,-1.4080737219934643
BIN_000017,-1.6279105740595379,0.870098101980867,-1.3362326892598988
BIN_000018,-1.6279105740595379,1.2181373427732138,-1.2641819676897914
BIN_000019,-1.6279105740595379,1.5661765835655606,-1.1919904104324308
BIN_000020,-1.5586377836740255,-1.5661765835655606,-1.704854364627891
BIN_000021,-1.5586377836740255,-1.2181373427732138,-1.6876943153847919
BIN_000022,-1.5586377836740255,-0.870098101980867,-1.6446350565899075
BIN_000023,-1.5586377836740255,-0.5220588611885202,-1.5881450199675928
BIN_000024,-1.5586377836740255,-0.17401962039617339,-1.5251519959596704
BIN_000025,-1.5586377836740255,0.17401962039617339,-1.4587828923271395
BIN_000026,-1.5586377836740255,0.5220588611885202,-1.39049752962874
BIN_000027,-1.5586377836740255,0.870098101980867,-1.3210371833708163
BIN_000028,-1.5586377836740255,1.2181373427732138,-1.2508101787573496
BIN_000029,-1.5586377836740255,1.5661765835655606,-1.1800574831872517
BIN_000030,-1.4893649932885134,-1.5661765835655606,-1.6321632295368798
BIN_000031,-1.4893649932885134,-1.2181373427732138,-1.620367082219327
BIN_000032,-1.4893649932885134,-0.870098101980867,-1.5881450199675928
BIN_000033,-1.4893649932885134,-0.5220588611885202,-1.5418342674799048
BIN_000034,-1.4893649932885134,-0.17401962039617339,-1.486780959354857
BIN_000035,-1.4893649932885134,0.17401962039617339,-1.4263781229125256
BIN_000036,-1.4893649932885134,0.5220588611885202,-1.3626096765345488
BIN_000037,-1.4893649932885134,0.870098101980867,-1.2966374431490697
