sku_id,gmm_cluster,cluster_probability,second_best_cluster,second_best_probability,confidence_gap
SKU_00678,0,0.9869610049366023,1,0.01303899506339755,0.9739220098732048
SKU_00134,0,0.9388436327334538,1,0.061156367266546,0.8776872654669079
SKU_00475,1,0.5392940768969047,0,0.46070592310309544,0.07858815379380923
SKU_00971,0,0.5721958160161528,1,0.427804183983847,0.14439163203230576
SKU_00825,0,0.6293502018631291,1,0.37064979813687104,0.258700403726258
SKU_00412,0,0.9286848080152129,1,0.07131519198478722,0.8573696160304257
SKU_00112,1,0.9100971120287256,0,0.08990288797127473,0.8201942240574508
SKU_00427,0,0.797711903288823,1,0.20228809671117712,0.5954238065776459
SKU_00512,0,0.9574649306035444,1,0.04253506939645588,0.9149298612070885
SKU_00305,1,0.8429719598808764,0,0.15702804011912339,0.685943919761753
SKU_00313,0,0.9851537162082107,1,0.014846283791789643,0.970307432416421
SKU_00814,0,0.588146615616507,1,0.41185338438349295,0.1762932312330141
SKU_00577,0,0.9648628754778384,1,0.035137124522161514,0.9297257509556769
SKU_00150,0,0.9832381727502303,1,0.01676182724976936,0.9664763455004609
SKU_00581,0,0.5395015180013957,1,0.46049848199860444,0.07900303600279124
SKU_00810,0,0.8477373758924484,1,0.15226262410755154,0.6954747517848968
SKU_00799,1,0.6520546308296178,0,0.34794536917038227,0.3041092616592355
SKU_00249,0,0.5183927420831229,1,0.48160725791687725,0.03678548416624566
SKU_00948,0,0.917109789325589,1,0.08289021067441091,0.834219578651178
SKU_00228,1,0.9845843785952678,0,0.01541562140473245,0.9691687571905354
SKU_00679,0,0.9846990148541187,1,0.015300985145881664,0.9693980297082371
SKU_00203,1,0.5664546823101292,0,0.43354531768987087,0.13290936462025832
SKU_00183,0,0.9913589998457952,1,0.00864100015420434,0.9827179996915909
SKU_00517,1,0.7685877105234343,0,0.2314122894765658,0.5371754210468686
SKU_00324,0,0.9396307817702437,1,0.06036921822975609,0.8792615635404877
SKU_00923,0,0.9957624637256466,1,0.004237536274353256,0.9915249274512933
SKU_00758,0,0.9812371719608657,1,0.018762828039133955,0.9624743439217317
SKU_00245,1,0.8431964207015242,0,0.15680357929847555,0.6863928414030487
SKU_00731,0,0.9094865042296749,1,0.09051349577032482,0.8189730084593501
SKU_00575,1,0.8101512384808236,0,0.18984876151917635,0.6203024769616472
SKU_00943,1,0.9734473302605978,0,0.026552669739402613,0.9468946605211952
SKU_00836,0,0.9138421800817574,1,0.08615781991824269,0.8276843601635148
SKU_00498,0,0.9912273370233962,1,0.008772662976603687,0.9824546740467924
SKU_00648,0,0.9910852453307377,1,0.008914754669262295,0.9821704906614754
SKU_00393,0,0.6860428423967238,1,0.3139571576032762,0.37208568479344756
SKU_00446,0,0.6734180007803475,1,0.3265819992196524,0.3468360015606951
SKU_00390,0,0.6972846462835711,1,0.3027153537164289,0.39456929256714224
