sku_id,gmm_cluster,cluster_probability
SKU_00678,1,0.9997002459538158
SKU_00134,1,0.9999566146030505
SKU_00475,1,0.9992838845245153
SKU_00971,1,0.9996508681964813
SKU_00825,1,0.9999835109124265
SKU_00412,1,0.9995056519914722
SKU_00112,1,0.9996713331888784
SKU_00427,1,0.9998445585070432
SKU_00512,1,0.9997813350976414
SKU_00305,1,0.9992688539630206
SKU_00313,1,0.9992039205908454
SKU_00814,1,0.9997266802492241
SKU_00577,1,0.9997372028933105
SKU_00150,1,0.9995033246040697
SKU_00581,1,0.9999779879904848
SKU_00810,1,0.9978043255131841
SKU_00799,1,0.9990709150056625
SKU_00249,1,0.9998162036188557
SKU_00948,1,0.9999736881784321
SKU_00228,1,0.999056303562892
SKU_00679,1,0.9998360150869341
SKU_00203,1,0.9991432124241189
SKU_00183,1,0.9989100209082565
SKU_00517,1,0.9997821069062057
SKU_00324,1,0.995387281984599
SKU_00923,1,0.9999147561068437
SKU_00758,1,0.9986775219565163
SKU_00245,1,0.9975537403444341
SKU_00731,1,0.9999073951720662
SKU_00575,1,0.9998647480237401
SKU_00943,1,0.9999999301413947
SKU_00836,1,0.9972836805427311
SKU_00498,1,0.9779950952953284
SKU_00648,1,0.9998137605466166
SKU_00393,1,0.9998409115053383
SKU_00446,1,0.9959210223523973
SKU_00390,1,0.9902150236040471
SKU_00240,1,0.9793558679336953
SKU_00710,1,0.9997700272852066
SKU_00671,1,0.9868711162228923
SKU_00447,1,0.9999747252348892
SKU_00308,1,0.9985411734277374
SKU_00197,1,0.9976029590124686
SKU_00937,1,0.9895281328740609
SKU_00869,1,0.9858207625839838
SKU_00769,1,0.9969083463532383
SKU_00705,1,0.9537526432742323
SKU_00627,1,0.9998687139384176
SKU_00178,1,0.9581658960592425
SKU_00127,1,0.9970167677778197
SKU_00384,1,0.9999741857451904
SKU_00419,1,0.9996707802875211
SKU_00996,1,0.9997674285021411
SKU_00120,1,0.9997543178592714
SKU_00991,1,0.9999935293851713
SKU_00070,1,0.9996572140472214
SKU_00905,1,0.9297168248950526
SKU_00431,1,0.9986316373818847
SKU_00795,1,0.9821807729164341
SKU_00271,1,0.996053392783324
SKU_00403,1,0.9939539134398989
SKU_00378,1,0.9994120022484823
SKU_00932,1,0.844910771692155
SKU_00035,1,0.9928344073165587
SKU_00891,1,0.9915395340498117
SKU_00737,1,0.9953564552847688
SKU_00267,1,0.9999088450428377
SKU_00139,1,0.9993318343741302
SKU_00509,1,0.9989699931537437
SKU_00367,1,0.964631659197112
SKU_00207,1,0.9998703366789071
SKU_00002,1,0.9992124399118817
SKU_00780,1,0.9989533832368168
SKU_00748,1,0.8793041800417718
SKU_00471,1,0.6872899013071729
SKU_00352,1,0.9998236963257503
SKU_00614,1,0.9298206590238842
SKU_00464,1,0.5168587772139306
SKU_00558,1,0.996853330117745
SKU_00745,1,0.8898399545601104
SKU_00759,1,0.9627281018049936
SKU_00798,1,0.9997169241225279
SKU_00645,1,0.9663112106685203
SKU_00226,1,0.7188732630492309
SKU_00680,1,0.9995317485479142
SKU_00574,1,0.9424408034601186
SKU_00450,1,0.9957994991004926
SKU_00238,1,0.9996131796579084
SKU_00094,1,0.992038355659744
SKU_00707,1,0.9872112635900457
SKU_00524,1,0.9615845214433864
SKU_00435,1,0.9999225440551949
SKU_00170,1,0.9986001361632539
SKU_00073,1,0.9683018003462602
SKU_00137,1,0.9935166852413021
SKU_00573,1,0.999656515989545
SKU_00950,1,0.9997285137128349
SKU_00719,1,0.9819152481653671
SKU_00727,1,0.8443839239745251
SKU_00485,1,0.535395319649983
SKU_00513,1,0.7127760456939835
SKU_00357,1,0.9998899063317364
SKU_00113,1,0.7862630636133483
SKU_00752,1,0.999999943471163
SKU_00803,1,0.999406022398927
SKU_00813,2,0.6451632713294709
SKU_00118,1,0.6506821212212829
SKU_00961,1,0.9992191287048696
SKU_00252,1,0.5995854654772826
SKU_00480,1,0.9999998501082873
SKU_00165,1,0.8462311818923224
SKU_00820,1,0.9792650883796278
SKU_00052,2,0.7597128556187923
SKU_00709,1,0.9908335433572809
SKU_00398,1,0.9921950617544347
SKU_00541,1,0.9981455220415747
SKU_00414,1,0.9918400585164424
SKU_00697,1,0.999999957024075
SKU_00872,1,0.990593135762042
SKU_00508,2,0.7171526741143832
SKU_00947,1,0.8154509926757229
SKU_00221,1,0.9998685426066246
SKU_00463,1,0.9990591901597873
SKU_00182,2,0.7839887668471583
SKU_00355,1,0.9937482720722163
SKU_00200,1,0.9968607772446512
SKU_00839,1,0.9999908892604845
SKU_00771,1,0.5163827087947913
SKU_00860,1,0.8448092888219474
SKU_00886,1,0.9997899997063163
SKU_00065,1,0.9997931901947341
SKU_00473,1,0.5313007191946935
SKU_00325,1,0.996123673942368
SKU_00568,2,0.7395025942819577
SKU_00295,1,0.999884349818225
SKU_00401,2,0.6938061537239143
SKU_00774,1,0.9451970915992868
SKU_00807,2,0.5404147830281647
SKU_00914,1,0.9999258883992511
SKU_00647,1,0.9907359449467328
SKU_00388,1,0.8532847533460358
SKU_00903,1,0.998325173260461
SKU_00247,2,0.8379498645335351
SKU_00154,2,0.8891785146140707
SKU_00549,1,0.8243944022085359
SKU_00532,2,0.9107923761494524
SKU_00949,1,0.9985351918846853
SKU_00396,1,0.5060928290699579
SKU_00020,1,0.9998489536681858
SKU_00548,1,0.9999687976625133
SKU_00489,2,0.7638529508219283
SKU_00107,1,0.8732280584086344
SKU_00609,1,0.9651483964646125
SKU_00462,1,0.9245814069148734
SKU_00966,1,0.9746634249812485
SKU_00358,1,0.8026260818911839
SKU_00970,1,0.9804598519424396
SKU_00791,1,0.9975315313100618
SKU_00755,1,0.5672216797911191
SKU_00631,2,0.8103679179505375
SKU_00421,2,0.640117181925375
SKU_00534,1,0.526913621318371
SKU_00720,2,0.9061789211039531
SKU_00467,2,0.6030906363074856
SKU_00233,1,0.9999999993955981
SKU_00688,1,0.7852758334662554
SKU_00336,2,0.7823577531786109
SKU_00510,1,0.9329349599495778
SKU_00781,1,0.9999822471958174
SKU_00824,1,0.9987291502749758
SKU_00420,2,0.8449313748057823
SKU_00847,2,0.987979739415136
SKU_00551,2,0.6159162823942849
SKU_00662,1,0.9829570302062729
SKU_00119,1,0.9991227822289895
SKU_00953,2,0.7732265199293383
SKU_00789,2,0.9371015217577083
SKU_00438,1,0.8641185110417431
SKU_00204,1,0.9876595039842647
SKU_00494,1,0.9997910464185142
SKU_00321,1,0.8121848552871838
SKU_00453,2,0.9324460077627643
SKU_00337,1,0.9810725250650274
SKU_00700,1,0.9999232765700448
SKU_00104,2,0.5248579959347486
SKU_00716,2,0.9019616448913049
SKU_00661,2,0.9680293300325468
SKU_00894,1,0.7404111023645508
SKU_00176,1,0.6648437079131331
SKU_00187,1,0.9911091279961878
SKU_00815,1,0.9982789378177006
SKU_00831,1,0.9999999021217304
SKU_00725,2,0.8697838321222128
SKU_00359,1,0.9697423888200349
SKU_00595,1,0.9994257515020272
SKU_00523,2,0.932973089382667
