sku_id,unit_cost,annual_demand,weight_kg,volume_cu_m_x,pick_frequency_x,avg_daily_demand,demand_std,pick_frequency_y,volume_cu_m_y,abc_class,abc_priority
SKU_00678,1.6403857154968984,1.595466926335397,0.3447939877158988,0.087,119,132.75616438356164,38.50678899148098,119,0.087,A,1.226586632396466
SKU_00134,1.549450210358479,1.6421372150350457,-1.5693073400976048,0.184,125,135.72054794520548,38.66272503835236,125,0.184,A,1.226586632396466
SKU_00475,1.720810044375972,1.4351950067590595,-0.9809706228008239,0.103,141,127.18356164383562,36.35413052131988,141,0.103,A,1.226586632396466
SKU_00971,1.5286353152659589,1.5892488788888872,0.617745525175224,0.054,140,131.8849315068493,37.90550596162559,140,0.054,A,1.226586632396466
SKU_00825,1.470547235937995,1.6229241470823461,-1.3789293769957223,0.02,138,132.4,40.5002916825747,138,0.02,A,1.226586632396466
SKU_00412,1.5757973034822341,1.445046070691171,-1.2676844226530564,0.106,127,127.55890410958904,38.076411879966656,127,0.106,A,1.226586632396466
SKU_00112,1.5042244914531357,1.507016948051333,-1.2436004634654687,0.152,151,127.9972602739726,38.53901253248165,151,0.152,A,1.226586632396466
SKU_00427,1.3604564951164257,1.6536650558066655,-0.15064745842875882,0.078,134,134.2,38.27583520237752,134,0.078,A,1.226586632396466
SKU_00512,1.5145973627617006,1.4533600891870666,-1.126621233125758,0.023,125,125.33698630136986,34.98891310605719,125,0.023,A,1.226586632396466
SKU_00305,1.6622378977202754,1.298118500129254,-1.0039077267890024,0.153,148,119.61643835616438,36.29073313472279,148,0.153,A,1.226586632396466
SKU_00313,1.617012178814932,1.333400679460575,1.4882086215266015,0.181,119,122.57534246575342,35.380008404907066,119,0.181,A,1.226586632396466
SKU_00814,1.2995331642974544,1.660931088777868,-0.1277103544405801,0.092,139,134.38630136986302,39.34562724446744,139,0.092,A,1.226586632396466
SKU_00577,1.4935750102430094,1.4259028684401176,0.4468641004632936,0.115,124,126.85753424657534,35.974525166238486,124,0.115,A,1.226586632396466
SKU_00150,1.4308537150638863,1.475297919503967,1.1475926273021495,0.047,121,129.2876712328767,37.43106464330362,121,0.047,A,1.226586632396466
SKU_00581,1.676552460126095,1.2242005877875952,-0.228633611988566,0.174,139,118.9835616438356,32.67320294333793,139,0.174,A,1.226586632396466
SKU_00810,1.693010749269018,1.1994681294048473,-1.2458941738642866,0.137,131,117.013698630137,33.30721679986012,131,0.137,A,1.226586632396466
SKU_00799,1.4796062102141416,1.389991897793981,0.9824454785872636,0.015,145,122.94246575342466,36.52546123020463,145,0.015,A,1.226586632396466
SKU_00249,1.241721694871052,1.6321464196996418,1.186585704082053,0.088,141,133.8082191780822,39.24579404015083,141,0.088,A,1.226586632396466
SKU_00948,1.3132253544247598,1.5420895302777156,1.371229391186891,0.116,129,131.13972602739727,36.6509326288172,129,0.116,A,1.226586632396466
SKU_00228,1.3753242773253687,1.4507750582261578,1.323061472811716,0.166,161,125.52054794520548,37.46731527591277,161,0.166,A,1.226586632396466
SKU_00679,1.2845270771377302,1.5321686006439579,0.18423425979864885,0.155,119,133.2958904109589,38.97540940144098,119,0.155,A,1.226586632396466
