order_id,sku_id,bin_id,pick_qty
ORD_0000000,SKU_00495,BIN_001499,13
ORD_0000000,SKU_00164,BIN_000694,8
ORD_0000000,SKU_00202,BIN_000831,2
ORD_0000000,SKU_00515,BIN_001139,1
ORD_0000000,SKU_00808,BIN_000281,5
ORD_0000000,SKU_00372,BIN_000413,9
ORD_0000000,SKU_00587,BIN_000618,17
ORD_0000001,SKU_00104,BIN_000908,12
ORD_0000002,SKU_00760,BIN_001315,10
ORD_0000002,SKU_00477,BIN_000797,8
ORD_0000002,SKU_00694,BIN_000687,9
ORD_0000002,SKU_00758,BIN_001294,4
ORD_0000002,SKU_00287,BIN_001336,5
ORD_0000003,SKU_00982,BIN_000415,12
ORD_0000003,SKU_00217,BIN_000606,11
ORD_0000003,SKU_00288,BIN_000009,5
ORD_0000003,SKU_00465,BIN_001180,18
ORD_0000003,SKU_00116,BIN_000344,19
ORD_0000004,SKU_00778,BIN_000274,13
ORD_0000004,SKU_00202,BIN_000831,13
ORD_0000004,SKU_00742,BIN_000702,2
ORD_0000004,SKU_00263,BIN_000514,5
ORD_0000004,SKU_00309,BIN_000311,17
ORD_0000004,SKU_00952,BIN_001432,6
ORD_0000004,SKU_00211,BIN_001397,2
ORD_0000005,SKU_00005,BIN_000075,11
ORD_0000005,SKU_00025,BIN_000210,13
ORD_0000005,SKU_00991,BIN_000656,13
ORD_0000005,SKU_00351,BIN_001135,15
ORD_0000006,SKU_00038,BIN_001178,7
ORD_0000006,SKU_00330,BIN_000046,13
ORD_0000006,SKU_00196,BIN_000578,15
ORD_0000006,SKU_00216,BIN_000294,1
ORD_0000006,SKU_00495,BIN_001499,11
ORD_0000007,SKU_00229,BIN_000445,10
ORD_0000007,SKU_00194,BIN_000700,5
ORD_0000008,SKU_00584,BIN_001046,3
ORD_0000009,SKU_00944,BIN_001287,3
ORD_0000009,SKU_00653,BIN_000613,6
ORD_0000010,SKU_00471,BIN_000597,4
ORD_0000010,SKU_00984,BIN_000789,1
ORD_0000010,SKU_00936,BIN_001194,13
ORD_0000010,SKU_00569,BIN_001175,1
ORD_0000010,SKU_00241,BIN_000042,5
ORD_0000010,SKU_00893,BIN_000290,5
ORD_0000011,SKU_00134,BIN_000732,10
ORD_0000011,SKU_00520,BIN_001462,13
ORD_0000011,SKU_00454,BIN_001238,14
ORD_0000011,SKU_00891,BIN_000976,7
ORD_0000011,SKU_00697,BIN_000425,6
ORD_0000011,SKU_00251,BIN_000818,7
ORD_0000012,SKU_00169,BIN_000955,18
ORD_0000012,SKU_00807,BIN_000362,10
ORD_0000012,SKU_00180,BIN_001470,8
ORD_0000012,SKU_00971,BIN_001151,15
ORD_0000012,SKU_00208,BIN_000603,4
ORD_0000013,SKU_00595,BIN_001076,18
ORD_0000013,SKU_00297,BIN_000187,14
ORD_0000014,SKU_00505,BIN_000727,16
ORD_0000015,SKU_00870,BIN_000005,6
ORD_0000015,SKU_00694,BIN_000687,8
ORD_0000015,SKU_00318,BIN_000283,13
