sku_id,gmm_cluster,confidence
SKU_00678,7,0.7925947759729852
SKU_00134,1,0.9994648186151528
SKU_00475,1,0.7731385727102724
SKU_00971,7,0.9728958055532504
SKU_00825,2,0.9976946373271168
SKU_00412,1,0.7467241382631049
SKU_00112,1,0.9950119538462391
SKU_00427,7,0.47012607392861316
SKU_00512,2,0.9967914455786456
SKU_00305,1,0.9874570096432307
SKU_00313,3,0.9956179469539135
SKU_00814,7,0.35850250054266325
SKU_00577,3,0.6879350890132864
SKU_00150,7,0.9954402186122995
SKU_00581,1,0.6150317354659649
SKU_00810,1,0.9845452580719278
SKU_00799,7,0.997801689221906
SKU_00249,7,0.8059041291833069
SKU_00948,3,0.6041448694668561
SKU_00228,3,0.995222368114024
SKU_00679,3,0.8460797100009229
SKU_00203,3,0.9725192579223647
SKU_00183,2,0.7348571014610831
SKU_00517,1,0.8367661598681188
SKU_00324,3,0.5829054176868289
SKU_00923,1,0.5421954437064048
SKU_00758,7,0.9996849442907223
SKU_00245,3,0.9789166875877673
SKU_00731,2,0.9913101260338164
SKU_00575,2,0.7280645647324457
SKU_00943,1,0.9974601030380049
SKU_00836,3,0.9901297870006063
SKU_00498,1,0.5667315293537573
SKU_00648,7,0.7434057163398348
SKU_00393,3,0.6782653297537244
SKU_00446,2,0.47071457651659404
SKU_00390,3,0.509491675075169
SKU_00240,3,0.6624892963576952
SKU_00710,1,0.9804169693568081
SKU_00671,2,0.5710207396376902
SKU_00447,3,0.9992499559873734
SKU_00308,1,0.8927022299376439
SKU_00197,7,0.9931170040497573
SKU_00937,1,0.9920332374544616
SKU_00869,2,0.9781169052087021
SKU_00769,7,0.40880487984592445
SKU_00705,7,0.9863557539796673
SKU_00627,7,0.6048096365972137
SKU_00178,3,0.5213191174645561
SKU_00127,3,0.8967382104940558
SKU_00384,2,0.7206691626047055
SKU_00419,7,0.8735564116222811
SKU_00996,1,0.71190831583318
SKU_00120,1,0.9628768134372151
SKU_00991,3,0.9267428182837395
SKU_00070,2,0.9943365617812515
SKU_00905,2,0.7082207187371437
SKU_00431,2,0.9691589249191391
SKU_00795,3,0.7820043659384635
SKU_00271,7,0.837674421933298
SKU_00403,7,0.999247851643676
SKU_00378,2,0.48544350472210457
SKU_00932,3,0.8269254343129752
SKU_00035,7,0.5094765806336027
SKU_00891,7,0.5556377142312824
SKU_00737,3,0.7036615795275568
SKU_00267,7,0.7864022477294571
SKU_00139,1,0.9835149088925351
SKU_00509,2,0.9569414874438856
SKU_00367,3,0.9673572413186575
SKU_00207,1,0.9976986478656726
SKU_00002,3,0.9910667406388913
SKU_00780,3,0.7848927610889814
SKU_00748,3,0.7494501955135882
SKU_00471,3,0.5767112910206872
SKU_00352,7,0.8841922069881932
SKU_00614,2,0.5101088219924491
SKU_00464,2,0.8612701335315059
SKU_00558,3,0.41969345180509193
SKU_00745,3,0.766205923561684
SKU_00759,2,0.6885185590046365
SKU_00798,1,0.9933035023551704
SKU_00645,3,0.9513254539440429
SKU_00226,7,0.6776829254369306
SKU_00680,3,0.9776030702425825
SKU_00574,2,0.951918046796343
SKU_00450,3,0.9101749743783284
SKU_00238,1,0.8173690443991845
SKU_00094,2,0.8692788113765069
SKU_00707,1,0.9907038843061119
SKU_00524,3,0.6836958326793451
SKU_00435,7,0.9926849834082663
SKU_00170,1,0.9979321653575912
SKU_00073,3,0.9716632710077634
SKU_00137,7,0.9980462762396665
SKU_00573,7,0.9888487750328653
SKU_00950,7,0.5562069134058641
SKU_00719,1,0.7755964774141966
SKU_00727,1,0.9722865201945528
SKU_00485,3,0.8133132572589852
SKU_00513,3,0.6083211815117324
SKU_00357,1,0.897779605803707
SKU_00113,1,0.9118135939451961
SKU_00752,1,0.9855966820267057
SKU_00803,7,0.8053555250026849
SKU_00813,1,0.44884707585234274
SKU_00118,1,0.6181865666407812
SKU_00961,7,0.9935105858677925
SKU_00252,2,0.947024305855509
SKU_00480,7,0.9126944221491499
SKU_00165,3,0.3180778425141806
SKU_00820,3,0.4671807965794285
SKU_00052,1,0.8187176858268783
SKU_00709,7,0.9836974938843168
SKU_00398,3,0.974170561995685
SKU_00541,7,0.5260077786941791
SKU_00414,2,0.9954747744652239
SKU_00697,7,0.8380095860998088
SKU_00872,1,0.9767919018910206
SKU_00508,1,0.8322190371121442
SKU_00947,3,0.7478168524762862
SKU_00221,7,0.9279042039142029
SKU_00463,7,0.5066126988474042
SKU_00182,2,0.887649540144271
SKU_00355,7,0.6916129273513356
SKU_00200,1,0.9802620258962665
SKU_00839,1,0.5429898921360199
SKU_00771,3,0.7237346531267826
SKU_00860,3,0.4809422686642226
SKU_00886,2,0.9866032648682798
SKU_00065,3,0.9558001354535712
SKU_00473,1,0.9361425075284091
SKU_00325,1,0.9041962446961556
SKU_00568,1,0.6775896657558375
SKU_00295,2,0.973673995256263
SKU_00401,1,0.8923438261838458
SKU_00774,2,0.94043501678177
SKU_00807,7,0.5119004836362294
SKU_00914,3,0.9006532950238778
SKU_00647,3,0.9522780984591032
SKU_00388,7,0.9230182424518913
SKU_00903,7,0.9470571439937863
SKU_00247,7,0.7076128381611555
SKU_00154,4,0.3778063152733995
SKU_00549,7,0.9667363925134084
SKU_00532,1,0.7348691072874078
SKU_00949,3,0.762483285382124
SKU_00396,3,0.6827079828792241
SKU_00020,7,0.9974463424885678
SKU_00548,7,0.9998360503766341
SKU_00489,7,0.4527886787714687
SKU_00107,7,0.8484478899922341
SKU_00609,1,0.9830999967699738
SKU_00462,7,0.9288248639999473
SKU_00966,1,0.9585229113699538
SKU_00358,7,0.7377977674412459
SKU_00970,7,0.9877861849459832
SKU_00791,7,0.9608288251615139
SKU_00755,2,0.9746045058379281
SKU_00631,1,0.23331857628040076
SKU_00421,2,0.9669871434464106
SKU_00534,2,0.7148020728950171
SKU_00720,2,0.6547661410883375
SKU_00467,7,0.8149186731034137
SKU_00233,1,0.9152673724486047
SKU_00688,7,0.8694624097489139
SKU_00336,1,0.8968869266539674
SKU_00510,2,0.7758282780905646
SKU_00781,1,0.951198037576419
SKU_00824,3,0.674496271430638
SKU_00420,3,0.44953484810488914
SKU_00847,4,0.8733387374768965
SKU_00551,7,0.639543848296754
SKU_00662,7,0.7531440423443064
SKU_00119,3,0.9953841236646851
SKU_00953,1,0.5761446375577319
SKU_00789,4,0.7179808376821588
SKU_00438,3,0.9001586668464093
SKU_00204,1,0.8967516252791995
SKU_00494,3,0.7362061183376022
SKU_00321,1,0.5551918587660215
SKU_00453,4,0.5606581160950117
SKU_00337,1,0.9092590365217619
SKU_00700,7,0.8235590207923089
SKU_00104,7,0.627547228747727
SKU_00716,4,0.6958137459912553
SKU_00661,0,0.5242511064403842
SKU_00894,2,0.8338974294921058
SKU_00176,1,0.7576453685042911
SKU_00187,7,0.5632493695530053
SKU_00815,1,0.9799915202257957
SKU_00831,3,0.7419258183427233
SKU_00725,1,0.7575632523682001
SKU_00359,7,0.7530355638626092
SKU_00595,1,0.9996473583217177
SKU_00523,5,0.49123386394093893
SKU_00802,1,0.9483998666821495
SKU_00766,1,0.8210778192020397
SKU_00086,7,0.897049088481161
SKU_00884,1,0.6162357880000637
SKU_00723,5,0.5969157862328407
SKU_00972,1,0.7916177655622785
SKU_00076,3,0.6220885175100274
SKU_00851,2,0.44403362279290115
SKU_00196,1,0.7274779753290497
SKU_00876,2,0.6493468247437783
SKU_00797,3,0.870274882303892
SKU_00686,7,0.7720469174973305
SKU_00093,3,0.9345166627272168
SKU_00242,4,0.48151305850346543
SKU_00186,4,0.8163744850629094
SKU_00633,3,0.8534404823495115
SKU_00862,3,0.9592317202663913
SKU_00074,7,0.9199201220846247
SKU_00535,5,0.6949338552481586
SKU_00276,1,0.5987480838386491
SKU_00861,7,0.9613087096200569
SKU_00490,3,0.7894487048998186
SKU_00554,4,0.3973433597456887
SKU_00444,1,0.7113646759498707
SKU_00981,1,0.3913930640317443
SKU_00364,6,0.921379076206051
SKU_00501,7,0.8763778208995232
SKU_00838,2,0.3900038574787699
SKU_00399,2,0.5047873380789965
SKU_00915,2,0.9921902678497674
SKU_00258,3,0.8479724433299882
SKU_00136,7,0.9685103201207369
SKU_00778,7,0.7636785206116505
SKU_00804,7,0.5564852976476826
SKU_00017,1,0.9937075667805685
SKU_00543,1,0.6412656560507534
SKU_00890,7,0.5102204391122418
SKU_00749,2,0.8459037713554558
SKU_00474,7,0.8976217981449166
SKU_00695,3,0.7597794841504093
SKU_00823,7,0.999472062535723
SKU_00191,0,0.6940188058194496
SKU_00048,7,0.8571622439840532
SKU_00159,7,0.4463234842856034
SKU_00976,1,0.9430443691763598
SKU_00027,2,0.9957080814152135
SKU_00437,5,0.4415347191956361
SKU_00116,4,0.6696156270434597
SKU_00683,7,0.7758581050663407
SKU_00296,0,0.6509545508046521
SKU_00302,3,0.9154036471772498
SKU_00081,1,0.698452261549571
SKU_00055,4,0.8356382798557186
SKU_00054,3,0.5486514534469
SKU_00692,1,0.9839152227126298
SKU_00913,3,0.9865162284029475
SKU_00739,1,0.9924927052679353
SKU_00717,4,0.7113882057246551
SKU_00939,7,0.9463023927268043
SKU_00363,7,0.9839049695321375
SKU_00968,7,0.7802686632684807
SKU_00921,3,0.8993951413593119
SKU_00408,4,0.4640893629405801
SKU_00525,7,0.9791626831686918
SKU_00989,0,0.8410398689360961
SKU_00738,1,0.8455208148060539
SKU_00956,1,0.970410939450817
SKU_00521,2,0.9991965994694161
SKU_00691,1,0.9981166538942925
SKU_00162,2,0.9245402119309962
SKU_00788,3,0.44061535154450904
SKU_00993,3,0.8180286349931291
SKU_00677,1,0.9428456623060948
SKU_00315,1,0.687574758682493
SKU_00817,3,0.8496805159511822
SKU_00248,6,0.9299278594970843
SKU_00188,1,0.921734569125719
SKU_00865,3,0.5614268616963981
SKU_00415,2,0.9834779857284883
SKU_00516,1,0.9956841408395686
SKU_00578,3,0.7390237387335133
SKU_00129,7,0.8310060191598735
SKU_00533,1,0.9328302301019484
SKU_00275,7,0.8965441996252922
SKU_00742,4,0.7173775435892843
SKU_00423,1,0.9198933350729526
SKU_00078,3,0.7596949069626019
SKU_00160,1,0.9536422131328419
SKU_00504,7,0.3651031408299129
SKU_00270,5,0.6802327984198886
SKU_00994,1,0.9903455003565631
SKU_00488,4,0.8958317940353709
SKU_00277,2,0.5411455821527743
SKU_00103,2,0.9905080008528728
SKU_00461,1,0.7221574923376546
SKU_00303,7,0.5835448275885127
SKU_00034,5,0.8176462079614568
