sku_id,demand_qty,cum_percent,abc_class
SKU_00447,50645,0.0019932969020556995,A
SKU_00295,49981,0.003960459947995988,A
SKU_00923,49883,0.005923765888666231,A
SKU_00207,49782,0.007883096649415304,A
SKU_00494,49699,0.00983916067814995,A
SKU_00517,49686,0.011794713050063061,A
SKU_00505,49619,0.013747628421434406,A
SKU_00291,49550,0.015697828075829902,A
SKU_00134,49538,0.017647555431620904,A
SKU_00874,49495,0.01959559038407913,A
SKU_00801,49426,0.021540909619561507,A
SKU_00991,49275,0.02348028576427065,A
SKU_00237,49235,0.025418087580298142,A
SKU_00710,49193,0.027354236351209902,A
SKU_00352,49108,0.02928703967367315,A
SKU_00739,49092,0.03121921326466374,A
SKU_00234,49080,0.03315091455704983,A
SKU_00814,49051,0.03508147446114173,A
SKU_00427,48983,0.03700935800647482,A
SKU_00249,48840,0.03893161332677101,A
SKU_00823,48801,0.040852333676602584,A
SKU_00648,48785,0.042772424294961496,A
SKU_00342,48746,0.044690979942855806,A
SKU_00731,48724,0.0466086697099752,A
SKU_00548,48709,0.04852576910383898,A
SKU_00879,48700,0.050442514273749385,A
SKU_00679,48653,0.052357409607458855,A
SKU_00233,48640,0.05427179328434679,A
SKU_00950,48615,0.05618519300580868,A
SKU_00561,48549,0.05809599508494585,A
SKU_00831,48463,0.06000341235741748,A
SKU_00678,48456,0.061910554122369815,A
SKU_00417,48448,0.06381738102158582,A
SKU_00825,48326,0.06571940621832278,A
SKU_00078,48262,0.06761891248916911,A
SKU_00422,48251,0.06951798581962798,A
SKU_00357,48235,0.07141642941861419,A
SKU_00971,48138,0.0733110552705474,A
SKU_00384,47998,0.07520017097209483,A
SKU_00131,47985,0.07708877501682072,A
SKU_00721,47984,0.07897733970332957,A
SKU_00393,47961,0.08086499915084647,A
SKU_00065,47926,0.08275128106076693,A
SKU_00528,47906,0.08463677580634656,A
SKU_00948,47866,0.08652069622324453,A
SKU_00521,47792,0.08840170413208145,A
SKU_00206,47755,0.09028125578688785,A
SKU_00502,47747,0.09216049257595792,A
SKU_00994,47537,0.09403146413944931,A
SKU_00516,47498,0.0959009007324761,A
SKU_00627,47418,0.09776718866813958,A
SKU_00599,47396,0.09963261072302816,A
SKU_00698,47346,0.10149606486706467,A
SKU_00238,47292,0.10335739366738095,A
SKU_00267,47273,0.10521797466157345,A
SKU_00285,47258,0.10707796528251033,A
SKU_00150,47190,0.1089352795446884,A
SKU_00221,47155,0.11079121626927003,A
SKU_00434,47109,0.11264534251586776,A
SKU_00160,47072,0.11449801250843496,A
SKU_00943,47038,0.11634934432162275,A
SKU_00015,47018,0.11819988897046972,A
SKU_00335,47001,0.120049764529627,A
SKU_00573,46870,0.12189448416235185,A
SKU_00112,46719,0.12373326070430349,A
SKU_00430,46661,0.12556975446966673,A
SKU_00804,46635,0.1274052249213869,A
SKU_00914,46613,0.12923982949233212,A
SKU_00308,46609,0.13107427663040921,A
SKU_00419,46586,0.13290781852949435,A
SKU_00412,46559,0.1347402977567194,A
SKU_00803,46545,0.13657222596890584,A
SKU_00329,46500,0.1384023830613254,A
SKU_00475,46422,0.1402294702128158,A
SKU_00108,46417,0.14205636057322094,A
SKU_00194,46391,0.14388222761998304,A
SKU_00463,46339,0.14570604803945897,A
SKU_00556,46311,0.14752876642885776,A
SKU_00577,46303,0.1493511699525202,A
SKU_00173,46251,0.15117152684889654,A
SKU_00595,46243,0.1529915688795365,A
SKU_00896,46126,0.15480700599878264,A
SKU_00183,46117,0.15662208889407542,A
SKU_00203,46029,0.15843370826626857,A
SKU_00961,45906,0.16024048657776563,A
SKU_00780,45851,0.16204510018732543,A
SKU_00228,45815,0.16384829690107175,A
SKU_00512,45748,0.16564885661427628,A
SKU_00372,45724,0.16744847173027183,A
SKU_00697,45699,0.16924710289084136,A
SKU_00509,45595,0.1710416407968386,A
SKU_00122,45546,0.1728342501502008,A
