from_bin,to_bin,distance
BIN_000000,BIN_000001,1.0
BIN_000000,BIN_000010,1.0
BIN_000000,BIN_000011,1.4142135623730951
BIN_000000,BIN_000500,0.0
BIN_000000,BIN_000501,1.0
BIN_000000,BIN_000510,1.0
BIN_000000,BIN_000511,1.4142135623730951
BIN_000000,BIN_001000,0.0
BIN_000000,BIN_001001,1.0
BIN_000000,BIN_001010,1.0
BIN_000000,BIN_001011,1.4142135623730951
BIN_000001,BIN_000000,1.0
BIN_000001,BIN_000002,1.0
BIN_000001,BIN_000010,1.4142135623730951
BIN_000001,BIN_000011,1.0
BIN_000001,BIN_000012,1.4142135623730951
BIN_000001,BIN_000500,1.0
BIN_000001,BIN_000501,0.0
BIN_000001,BIN_000502,1.0
BIN_000001,BIN_000510,1.4142135623730951
BIN_000001,BIN_000511,1.0
BIN_000001,BIN_000512,1.4142135623730951
BIN_000001,BIN_001000,1.0
BIN_000001,BIN_001001,0.0
BIN_000001,BIN_001002,1.0
BIN_000001,BIN_001010,1.4142135623730951
BIN_000001,BIN_001011,1.0
BIN_000001,BIN_001012,1.4142135623730951
BIN_000002,BIN_000001,1.0
BIN_000002,BIN_000003,1.0
BIN_000002,BIN_000011,1.4142135623730951
BIN_000002,BIN_000012,1.0
BIN_000002,BIN_000013,1.4142135623730951
BIN_000002,BIN_000501,1.0
BIN_000002,BIN_000502,0.0
BIN_000002,BIN_000503,1.0
BIN_000002,BIN_000511,1.4142135623730951
BIN_000002,BIN_000512,1.0
BIN_000002,BIN_000513,1.4142135623730951
BIN_000002,BIN_001001,1.0
BIN_000002,BIN_001002,0.0
BIN_000002,BIN_001003,1.0
BIN_000002,BIN_001011,1.4142135623730951
BIN_000002,BIN_001012,1.0
BIN_000002,BIN_001013,1.4142135623730951
BIN_000003,BIN_000002,1.0
BIN_000003,BIN_000004,1.0
BIN_000003,BIN_000012,1.4142135623730951
BIN_000003,BIN_000013,1.0
BIN_000003,BIN_000014,1.4142135623730951
BIN_000003,BIN_000502,1.0
BIN_000003,BIN_000503,0.0
BIN_000003,BIN_000504,1.0
BIN_000003,BIN_000512,1.4142135623730951
BIN_000003,BIN_000513,1.0
BIN_000003,BIN_000514,1.4142135623730951
BIN_000003,BIN_001002,1.0
BIN_000003,BIN_001003,0.0
BIN_000003,BIN_001004,1.0
BIN_000003,BIN_001012,1.4142135623730951
BIN_000003,BIN_001013,1.0
BIN_000003,BIN_001014,1.4142135623730951
BIN_000004,BIN_000003,1.0
BIN_000004,BIN_000005,1.0
BIN_000004,BIN_000013,1.4142135623730951
BIN_000004,BIN_000014,1.0
BIN_000004,BIN_000015,1.4142135623730951
BIN_000004,BIN_000503,1.0
BIN_000004,BIN_000504,0.0
BIN_000004,BIN_000505,1.0
BIN_000004,BIN_000513,1.4142135623730951
BIN_000004,BIN_000514,1.0
BIN_000004,BIN_000515,1.4142135623730951
BIN_000004,BIN_001003,1.0
BIN_000004,BIN_001004,0.0
BIN_000004,BIN_001005,1.0
BIN_000004,BIN_001013,1.4142135623730951
BIN_000004,BIN_001014,1.0
BIN_000004,BIN_001015,1.4142135623730951
BIN_000005,BIN_000004,1.0
BIN_000005,BIN_000006,1.0
BIN_000005,BIN_000014,1.4142135623730951
BIN_000005,BIN_000015,1.0
BIN_000005,BIN_000016,1.4142135623730951
BIN_000005,BIN_000504,1.0
BIN_000005,BIN_000505,0.0
BIN_000005,BIN_000506,1.0
BIN_000005,BIN_000514,1.4142135623730951
BIN_000005,BIN_000515,1.0
BIN_000005,BIN_000516,1.4142135623730951
BIN_000005,BIN_001004,1.0
BIN_000005,BIN_001005,0.0
BIN_000005,BIN_001006,1.0
BIN_000005,BIN_001014,1.4142135623730951
BIN_000005,BIN_001015,1.0
BIN_000005,BIN_001016,1.4142135623730951
BIN_000006,BIN_000005,1.0
BIN_000006,BIN_000007,1.0
BIN_000006,BIN_000015,1.4142135623730951
BIN_000006,BIN_000016,1.0
BIN_000006,BIN_000017,1.4142135623730951
BIN_000006,BIN_000505,1.0
BIN_000006,BIN_000506,0.0
BIN_000006,BIN_000507,1.0
BIN_000006,BIN_000515,1.4142135623730951
BIN_000006,BIN_000516,1.0
BIN_000006,BIN_000517,1.4142135623730951
BIN_000006,BIN_001005,1.0
BIN_000006,BIN_001006,0.0
BIN_000006,BIN_001007,1.0
BIN_000006,BIN_001015,1.4142135623730951
BIN_000006,BIN_001016,1.0
BIN_000006,BIN_001017,1.4142135623730951
BIN_000007,BIN_000006,1.0
BIN_000007,BIN_000008,1.0
BIN_000007,BIN_000016,1.4142135623730951
BIN_000007,BIN_000017,1.0
BIN_000007,BIN_000018,1.4142135623730951
BIN_000007,BIN_000506,1.0
BIN_000007,BIN_000507,0.0
BIN_000007,BIN_000508,1.0
BIN_000007,BIN_000516,1.4142135623730951
BIN_000007,BIN_000517,1.0
BIN_000007,BIN_000518,1.4142135623730951
BIN_000007,BIN_001006,1.0
BIN_000007,BIN_001007,0.0
BIN_000007,BIN_001008,1.0
BIN_000007,BIN_001016,1.4142135623730951
BIN_000007,BIN_001017,1.0
BIN_000007,BIN_001018,1.4142135623730951
BIN_000008,BIN_000007,1.0
BIN_000008,BIN_000009,1.0
BIN_000008,BIN_000017,1.4142135623730951
BIN_000008,BIN_000018,1.0
BIN_000008,BIN_000019,1.4142135623730951
BIN_000008,BIN_000507,1.0
BIN_000008,BIN_000508,0.0
BIN_000008,BIN_000509,1.0
BIN_000008,BIN_000517,1.4142135623730951
BIN_000008,BIN_000518,1.0
BIN_000008,BIN_000519,1.4142135623730951
