sku_id,date,demand_qty,promotion_flag
SKU_00678,2024-01-01,145,0
SKU_00678,2024-01-02,129,0
SKU_00678,2024-01-03,127,0
SKU_00678,2024-01-04,128,0
SKU_00678,2024-01-05,177,0
SKU_00678,2024-01-06,156,1
SKU_00678,2024-01-07,124,0
SKU_00678,2024-01-08,151,0
SKU_00678,2024-01-09,144,0
SKU_00678,2024-01-10,88,0
SKU_00678,2024-01-11,112,0
SKU_00678,2024-01-12,148,0
SKU_00678,2024-01-13,179,0
SKU_00678,2024-01-14,135,0
SKU_00678,2024-01-15,127,0
SKU_00678,2024-01-16,145,0
SKU_00678,2024-01-17,127,0
SKU_00678,2024-01-18,136,0
SKU_00678,2024-01-19,144,0
SKU_00678,2024-01-20,117,1
SKU_00678,2024-01-21,167,0
SKU_00678,2024-01-22,114,0
SKU_00678,2024-01-23,112,1
SKU_00678,2024-01-24,153,0
SKU_00678,2024-01-25,168,0
SKU_00678,2024-01-26,153,0
SKU_00678,2024-01-27,146,0
SKU_00678,2024-01-28,142,0
SKU_00678,2024-01-29,138,0
SKU_00678,2024-01-30,179,0
SKU_00678,2024-01-31,160,0
SKU_00678,2024-02-01,142,1
SKU_00678,2024-02-02,135,0
SKU_00678,2024-02-03,170,0
SKU_00678,2024-02-04,181,0
SKU_00678,2024-02-05,179,0
SKU_00678,2024-02-06,133,0
SKU_00678,2024-02-07,148,0
SKU_00678,2024-02-08,144,0
SKU_00678,2024-02-09,152,0
SKU_00678,2024-02-10,179,0
SKU_00678,2024-02-11,194,0
SKU_00678,2024-02-12,168,0
SKU_00678,2024-02-13,142,0
SKU_00678,2024-02-14,159,0
SKU_00678,2024-02-15,202,0
SKU_00678,2024-02-16,163,0
SKU_00678,2024-02-17,153,0
SKU_00678,2024-02-18,156,0
SKU_00678,2024-02-19,171,0
SKU_00678,2024-02-20,141,1
SKU_00678,2024-02-21,149,0
SKU_00678,2024-02-22,187,0
SKU_00678,2024-02-23,172,0
SKU_00678,2024-02-24,167,0
SKU_00678,2024-02-25,190,0
SKU_00678,2024-02-26,146,0
SKU_00678,2024-02-27,157,0
SKU_00678,2024-02-28,173,0
SKU_00678,2024-02-29,173,0
SKU_00678,2024-03-01,129,0
SKU_00678,2024-03-02,156,0
SKU_00678,2024-03-03,163,0
SKU_00678,2024-03-04,178,0
SKU_00678,2024-03-05,174,1
SKU_00678,2024-03-06,166,0
SKU_00678,2024-03-07,117,0
SKU_00678,2024-03-08,168,0
SKU_00678,2024-03-09,170,0
SKU_00678,2024-03-10,234,0
SKU_00678,2024-03-11,164,0
SKU_00678,2024-03-12,178,0
SKU_00678,2024-03-13,200,0
SKU_00678,2024-03-14,190,0
SKU_00678,2024-03-15,207,0
SKU_00678,2024-03-16,133,0
SKU_00678,2024-03-17,144,0
SKU_00678,2024-03-18,156,0
SKU_00678,2024-03-19,130,0
SKU_00678,2024-03-20,173,0
SKU_00678,2024-03-21,147,1
SKU_00678,2024-03-22,212,0
SKU_00678,2024-03-23,151,1
SKU_00678,2024-03-24,163,0
SKU_00678,2024-03-25,193,0
SKU_00678,2024-03-26,139,0
SKU_00678,2024-03-27,129,0
SKU_00678,2024-03-28,177,0
SKU_00678,2024-03-29,179,0
SKU_00678,2024-03-30,193,0
SKU_00678,2024-03-31,186,0
SKU_00678,2024-04-01,180,0
SKU_00678,2024-04-02,154,0
SKU_00678,2024-04-03,178,0
SKU_00678,2024-04-04,180,0
SKU_00678,2024-04-05,153,0
SKU_00678,2024-04-06,221,0
SKU_00678,2024-04-07,184,0
SKU_00678,2024-04-08,146,0
SKU_00678,2024-04-09,192,0
SKU_00678,2024-04-10,197,0
SKU_00678,2024-04-11,182,0
SKU_00678,2024-04-12,165,0
SKU_00678,2024-04-13,151,0
SKU_00678,2024-04-14,169,0
SKU_00678,2024-04-15,180,0
SKU_00678,2024-04-16,171,0
SKU_00678,2024-04-17,209,0
SKU_00678,2024-04-18,187,0
SKU_00678,2024-04-19,147,0
SKU_00678,2024-04-20,141,1
SKU_00678,2024-04-21,182,1
SKU_00678,2024-04-22,164,0
SKU_00678,2024-04-23,188,1
SKU_00678,2024-04-24,181,1
SKU_00678,2024-04-25,167,0
SKU_00678,2024-04-26,146,0
SKU_00678,2024-04-27,128,0
SKU_00678,2024-04-28,173,1
SKU_00678,2024-04-29,134,0
SKU_00678,2024-04-30,144,0
SKU_00678,2024-05-01,171,1
SKU_00678,2024-05-02,168,0
SKU_00678,2024-05-03,136,0
SKU_00678,2024-05-04,195,0
SKU_00678,2024-05-05,193,0
SKU_00678,2024-05-06,179,0
SKU_00678,2024-05-07,178,1
SKU_00678,2024-05-08,178,0
SKU_00678,2024-05-09,266,0
SKU_00678,2024-05-10,189,0
SKU_00678,2024-05-11,180,0
SKU_00678,2024-05-12,142,0
SKU_00678,2024-05-13,156,0
SKU_00678,2024-05-14,223,0
SKU_00678,2024-05-15,112,0
SKU_00678,2024-05-16,148,0
SKU_00678,2024-05-17,189,0
SKU_00678,2024-05-18,141,0
SKU_00678,2024-05-19,177,0
SKU_00678,2024-05-20,160,0
SKU_00678,2024-05-21,141,0
SKU_00678,2024-05-22,104,0
SKU_00678,2024-05-23,162,0
SKU_00678,2024-05-24,136,0
SKU_00678,2024-05-25,153,1
SKU_00678,2024-05-26,169,0
SKU_00678,2024-05-27,178,0
SKU_00678,2024-05-28,142,0
SKU_00678,2024-05-29,137,0
SKU_00678,2024-05-30,120,1
SKU_00678,2024-05-31,177,0
SKU_00678,2024-06-01,208,0
SKU_00678,2024-06-02,179,0
SKU_00678,2024-06-03,185,0
SKU_00678,2024-06-04,132,0
SKU_00678,2024-06-05,161,0
SKU_00678,2024-06-06,170,0
SKU_00678,2024-06-07,62,0
SKU_00678,2024-06-08,121,0
SKU_00678,2024-06-09,190,0
SKU_00678,2024-06-10,109,0
SKU_00678,2024-06-11,184,0
SKU_00678,2024-06-12,107,0
SKU_00678,2024-06-13,119,0
SKU_00678,2024-06-14,156,0
SKU_00678,2024-06-15,145,1
SKU_00678,2024-06-16,132,0
SKU_00678,2024-06-17,184,0
SKU_00678,2024-06-18,108,0
SKU_00678,2024-06-19,137,1
SKU_00678,2024-06-20,156,1
SKU_00678,2024-06-21,147,0
SKU_00678,2024-06-22,122,0
SKU_00678,2024-06-23,122,0
SKU_00678,2024-06-24,160,0
SKU_00678,2024-06-25,160,0
SKU_00678,2024-06-26,144,0
SKU_00678,2024-06-27,113,0
SKU_00678,2024-06-28,120,0
SKU_00678,2024-06-29,133,0
SKU_00678,2024-06-30,136,0
SKU_00678,2024-07-01,147,0
SKU_00678,2024-07-02,126,0
SKU_00678,2024-07-03,153,0
SKU_00678,2024-07-04,152,1
SKU_00678,2024-07-05,164,0
SKU_00678,2024-07-06,130,0
SKU_00678,2024-07-07,137,1
SKU_00678,2024-07-08,124,0
SKU_00678,2024-07-09,105,0
SKU_00678,2024-07-10,182,0
SKU_00678,2024-07-11,156,0
SKU_00678,2024-07-12,146,0
SKU_00678,2024-07-13,124,0
SKU_00678,2024-07-14,100,0
SKU_00678,2024-07-15,149,0
SKU_00678,2024-07-16,118,0
SKU_00678,2024-07-17,133,0
SKU_00678,2024-07-18,106,0
SKU_00678,2024-07-19,127,0
SKU_00678,2024-07-20,106,0
SKU_00678,2024-07-21,107,0
SKU_00678,2024-07-22,125,1
SKU_00678,2024-07-23,79,0
SKU_00678,2024-07-24,80,1
SKU_00678,2024-07-25,97,0
SKU_00678,2024-07-26,110,0
SKU_00678,2024-07-27,138,0
SKU_00678,2024-07-28,110,0
SKU_00678,2024-07-29,114,0
SKU_00678,2024-07-30,106,0
SKU_00678,2024-07-31,121,0
SKU_00678,2024-08-01,90,0
SKU_00678,2024-08-02,109,0
SKU_00678,2024-08-03,122,0
SKU_00678,2024-08-04,116,0
SKU_00678,2024-08-05,110,0
SKU_00678,2024-08-06,110,0
SKU_00678,2024-08-07,122,0
SKU_00678,2024-08-08,165,0
SKU_00678,2024-08-09,87,1
SKU_00678,2024-08-10,165,0
SKU_00678,2024-08-11,85,0
SKU_00678,2024-08-12,50,0
SKU_00678,2024-08-13,92,0
SKU_00678,2024-08-14,114,0
SKU_00678,2024-08-15,154,0
SKU_00678,2024-08-16,80,1
SKU_00678,2024-08-17,117,0
SKU_00678,2024-08-18,68,1
SKU_00678,2024-08-19,151,0
SKU_00678,2024-08-20,133,1
SKU_00678,2024-08-21,89,0
SKU_00678,2024-08-22,56,1
SKU_00678,2024-08-23,137,0
SKU_00678,2024-08-24,97,0
SKU_00678,2024-08-25,133,0
SKU_00678,2024-08-26,100,0
SKU_00678,2024-08-27,101,1
SKU_00678,2024-08-28,87,0
SKU_00678,2024-08-29,115,0
