sku_id,cluster,confidence
SKU_00678,1,1.0
SKU_00134,1,1.0
SKU_00475,1,1.0
SKU_00971,1,1.0
SKU_00825,1,1.0
SKU_00412,1,1.0
SKU_00112,1,1.0
SKU_00427,1,1.0
SKU_00512,1,1.0
SKU_00305,1,1.0
SKU_00313,1,1.0
SKU_00814,1,1.0
SKU_00577,1,1.0
SKU_00150,1,1.0
SKU_00581,1,1.0
SKU_00810,1,1.0
SKU_00799,1,1.0
SKU_00249,1,1.0
SKU_00948,1,1.0
SKU_00228,1,1.0
SKU_00679,1,1.0
SKU_00203,1,1.0
SKU_00183,1,1.0
SKU_00517,1,1.0
SKU_00324,1,1.0
SKU_00923,1,1.0
SKU_00758,1,1.0
SKU_00245,1,1.0
SKU_00731,1,1.0
SKU_00575,1,1.0
SKU_00943,1,1.0
SKU_00836,1,1.0
SKU_00498,1,1.0
SKU_00648,1,1.0
SKU_00393,1,1.0
SKU_00446,1,1.0
SKU_00390,1,1.0
SKU_00240,1,1.0
SKU_00710,1,1.0
SKU_00671,1,1.0
SKU_00447,1,1.0
SKU_00308,1,1.0
SKU_00197,1,1.0
SKU_00937,1,1.0
SKU_00869,1,1.0
SKU_00769,1,1.0
SKU_00705,1,1.0
SKU_00627,1,1.0
SKU_00178,1,1.0
SKU_00127,1,1.0
SKU_00384,1,1.0
SKU_00419,1,1.0
SKU_00996,1,1.0
SKU_00120,1,1.0
SKU_00991,1,1.0
SKU_00070,1,1.0
SKU_00905,1,1.0
SKU_00431,1,1.0
SKU_00795,1,1.0
SKU_00271,1,1.0
SKU_00403,1,1.0
SKU_00378,1,1.0
SKU_00932,1,1.0
SKU_00035,1,1.0
SKU_00891,1,1.0
SKU_00737,1,1.0
SKU_00267,1,1.0
SKU_00139,1,1.0
SKU_00509,1,1.0
SKU_00367,1,1.0
SKU_00207,1,1.0
SKU_00002,1,1.0
SKU_00780,1,1.0
SKU_00748,1,1.0
SKU_00471,1,1.0
SKU_00352,1,1.0
SKU_00614,1,1.0
SKU_00464,1,1.0
SKU_00558,1,1.0
SKU_00745,1,1.0
SKU_00759,1,1.0
SKU_00798,1,1.0
SKU_00645,1,1.0
SKU_00226,1,1.0
SKU_00680,1,1.0
SKU_00574,1,1.0
SKU_00450,1,1.0
SKU_00238,1,1.0
SKU_00094,1,1.0
SKU_00707,1,1.0
SKU_00524,1,1.0
SKU_00435,1,1.0
SKU_00170,1,1.0
SKU_00073,1,1.0
SKU_00137,1,1.0
SKU_00573,1,1.0
SKU_00950,1,1.0
SKU_00719,1,1.0
SKU_00727,1,1.0
SKU_00485,1,1.0
SKU_00513,1,1.0
SKU_00357,1,1.0
SKU_00113,1,1.0
SKU_00752,1,1.0
SKU_00803,1,1.0
SKU_00813,1,1.0
SKU_00118,1,1.0
SKU_00961,1,1.0
SKU_00252,1,1.0
SKU_00480,1,1.0
SKU_00165,1,1.0
