sku_id,avg_daily_demand,demand_std,pick_frequency,volume_cu_m
SKU_00678,132.75616438356164,38.50678899148098,119,0.087
SKU_00134,135.72054794520548,38.66272503835236,125,0.184
SKU_00475,127.18356164383562,36.35413052131988,141,0.103
SKU_00971,131.8849315068493,37.90550596162559,140,0.054
SKU_00825,132.4,40.5002916825747,138,0.02
SKU_00412,127.55890410958904,38.076411879966656,127,0.106
SKU_00112,127.9972602739726,38.53901253248165,151,0.152
SKU_00427,134.2,38.275835202377515,134,0.078
SKU_00512,125.33698630136986,34.98891310605719,125,0.023
SKU_00305,119.61643835616438,36.290733134722785,148,0.153
SKU_00313,122.57534246575342,35.380008404907066,119,0.181
SKU_00814,134.38630136986302,39.345627244467444,139,0.092
SKU_00577,126.85753424657534,35.974525166238486,124,0.115
SKU_00150,129.2876712328767,37.43106464330362,121,0.047
SKU_00581,118.98356164383561,32.67320294333793,139,0.174
SKU_00810,117.01369863013699,33.30721679986012,131,0.137
SKU_00799,122.94246575342466,36.52546123020463,145,0.015
SKU_00249,133.8082191780822,39.24579404015083,141,0.088
SKU_00948,131.13972602739727,36.650932628817195,129,0.116
SKU_00228,125.52054794520548,37.46731527591277,161,0.166
SKU_00679,133.2958904109589,38.975409401440984,119,0.155
SKU_00203,126.10684931506849,36.901369613222,142,0.144
SKU_00183,126.34794520547945,36.212847993180674,116,0.089
SKU_00517,136.1260273972603,39.579527770246685,146,0.144
SKU_00324,115.18082191780822,33.92299237111176,127,0.107
SKU_00923,136.66575342465754,39.369942442249865,112,0.16
SKU_00758,122.27397260273973,34.958790603991915,122,0.004
SKU_00245,116.28219178082192,34.84920160241487,149,0.145
SKU_00731,133.4904109589041,40.19305118850313,129,0.041
SKU_00575,113.23561643835616,30.993872887326802,148,0.068
SKU_00943,128.87123287671233,40.62982677818471,157,0.171
SKU_00836,114.65753424657534,32.80303321964071,128,0.195
SKU_00498,110.02465753424657,32.13889747634527,116,0.101
SKU_00648,133.65753424657535,38.156782979045175,117,0.076
SKU_00393,131.4,39.02111291015744,137,0.11
SKU_00446,107.34794520547945,29.99490849463261,137,0.088
SKU_00390,104.14794520547945,29.23643721242569,137,0.104
SKU_00240,109.32054794520548,31.82142376902614,139,0.11
SKU_00710,134.77534246575343,39.899929014857115,139,0.131
SKU_00671,117.92876712328767,34.65870282004432,150,0.078
SKU_00447,138.75342465753425,39.471989241335066,138,0.199
SKU_00308,127.69589041095891,37.32472753099053,145,0.11
SKU_00197,111.65753424657534,33.458609487670174,136,0.047
SKU_00937,109.33698630136986,32.84100687632632,142,0.187
SKU_00869,103.11232876712329,28.721684313106113,147,0.003
SKU_00769,120.59452054794521,35.74067115050759,147,0.079
SKU_00705,98.94246575342466,29.368527661091235,132,0.046
SKU_00627,129.91232876712328,36.44283475152257,140,0.004
SKU_00178,102.67671232876712,29.371897874770042,140,0.097
SKU_00127,109.6027397260274,33.15379568461889,145,0.128
SKU_00384,131.5013698630137,39.91671443800096,134,0.039
SKU_00419,127.63287671232877,38.048725465630696,127,0.043
SKU_00996,102.92328767123287,32.195055079609766,123,0.13
SKU_00120,116.1945205479452,35.62268650830455,134,0.135
SKU_00991,135.0,37.61539023348795,119,0.142
SKU_00070,121.17260273972603,36.97304208115158,143,0.013
SKU_00905,105.32328767123288,31.31854469653367,151,0.07
SKU_00431,122.24383561643836,34.57613428610412,147,0.045
SKU_00795,104.72602739726027,29.91033315603056,128,0.127
SKU_00271,116.54520547945205,33.224779913508385,146,0.077
SKU_00403,113.52876712328766,33.08908006623461,121,0.019
SKU_00378,115.46301369863014,35.10552188355626,122,0.091
SKU_00932,93.83561643835617,27.844354340578338,134,0.148
SKU_00035,115.63835616438357,33.41490187955145,137,0.08
SKU_00891,107.66575342465754,32.27394851147672,132,0.096
SKU_00737,112.62191780821918,32.21228626505415,121,0.15
SKU_00267,129.5150684931507,39.03278303474668,139,0.045
SKU_00139,93.10684931506849,25.122602278937833,129,0.166
SKU_00509,124.91780821917808,37.31156076354172,132,0.003
SKU_00367,100.92602739726027,28.746571832865644,135,0.157
SKU_00207,136.3890410958904,39.95143879749591,127,0.168
SKU_00002,120.2958904109589,36.110181048737125,147,0.159
SKU_00780,125.61917808219178,36.6084894433326,136,0.124
SKU_00748,97.08767123287672,28.69607673727184,138,0.115
SKU_00471,91.56712328767124,26.531735376458258,146,0.099
SKU_00352,134.54246575342466,39.742875226460335,125,0.039
SKU_00614,99.82465753424657,28.629346835472862,122,0.094
SKU_00464,90.16438356164383,26.25268887255724,141,0.044
SKU_00558,113.87671232876713,34.2208989248888,138,0.107
SKU_00745,96.0054794520548,27.429830008381867,141,0.135
SKU_00759,109.18904109589042,32.05301052893612,147,0.004
SKU_00798,123.02191780821917,37.039621815347864,128,0.195
SKU_00645,96.08219178082192,26.977378305495947,130,0.146
SKU_00226,89.1972602739726,26.11354103602792,131,0.093
SKU_00680,103.04109589041096,32.02018523575391,140,0.171
